product_number,category_name,deparment_name,manufacturer_name,upc,sku,regular_price,sale_price,description
RVF-00052,"Ergonomic Mice",COMPUTERS,Microsoft,885370428216,1261563,59.99,59.99,"BlueTrack technology; nano transceiver; touch-to-scroll; ergonomic design"
910-002696,"Ergonomic Mice",COMPUTERS,Logitech,97855080929,3435868,24.99,24.99,"Advanced optical technology; contoured design with 3 buttons; soft rubber grips; smart sleep mode; unifying receiver connects up to 6 compatible devices"
