product_number,category_name,deparment_name,manufacturer_name,upc,sku,regular_price,sale_price,description
920-002478,"Wired & USB Keyboards",COMPUTERS,Logitech,97855065537,1053557,14.99,14.99,"Compatible with PC USB interface Spill-resistant design Adjustable tilt legs Plug-and-play"
4250400,"Wired & USB Keyboards",COMPUTERS,"Digital Innovations",659846425043,3736928,11.99,11.99,"Compatible with PC; USB connectivity; 110 keys"
