product_number,category_name,deparment_name,manufacturer_name,upc,sku,regular_price,sale_price,description
"ROD NTUSB","Computer Microphones",AUDIO,RØDE,698813003969,1535163,169.99,169.99,"RODE USB Microphone: Compatible with most mainstream recording apps on Windows and Mac computers and Apple iPad; for recording singing, musical performances and spoken applications; zero-latency 3.5mm jack; includes pop filter and tripod stand"
140000,"Computer Microphones",AUDIO,Samson,809164012733,1950242,69.99,69.99,"20 Hz to 20 kHz - Wired - Condenser - Desktop - USB"
